# Wavelength (nm); Cross-section (cm^2)
4.015191485622658547e+02; 5.582455851792800822e-21
4.066945487652728843e+02; 5.944008233593549607e-21
4.117027206035535301e+02; 6.532902040408667057e-21
4.162639977543647092e+02; 7.332268678552544276e-21
4.201455888077625787e+02; 8.153442534530447905e-21
4.233506735053991861e+02; 9.096437082435043167e-21
4.261007442387343644e+02; 9.994526141048735428e-21
4.286255842811648904e+02; 1.094175940234361929e-20
4.309243497393507596e+02; 1.191159360779857266e-20
4.329957969810014333e+02; 1.286491237643515180e-20
4.348413917156021853e+02; 1.384781715726368862e-20
4.369183020562434763e+02; 1.497296859948422564e-20
4.387013281274921610e+02; 1.602599469870610300e-20
4.399326002358795336e+02; 1.704849140181277666e-20
4.410213558908086497e+02; 1.800428499870752641e-20
4.427257539449941532e+02; 1.930168365860886200e-20
4.441219976837593322e+02; 2.041780218495911454e-20
4.451036765984728731e+02; 2.133459547322252822e-20
4.465006309842612495e+02; 2.247306621727474948e-20
4.478469428865612372e+02; 2.344534208746013271e-20
4.490144026993059470e+02; 2.449884372798167909e-20
4.497723610480391017e+02; 2.551227968154298069e-20
4.508933090131176300e+02; 2.652950871359042623e-20
4.520222517572067318e+02; 2.779820019478512370e-20
4.527824308778872933e+02; 2.888148682866511441e-20
4.539068876626427027e+02; 3.000907993561607527e-20
4.549412521710362398e+02; 3.115633072363951037e-20
4.562956920986637215e+02; 3.238426008379127482e-20
4.575646589555798869e+02; 3.377713654007836134e-20
4.586086171987861348e+02; 3.522614226707850356e-20
4.596453801408828781e+02; 3.644883178984611544e-20
4.607713914660014325e+02; 3.762532037302015507e-20
4.617148420124125892e+02; 3.876638409039815761e-20
4.629671131058282754e+02; 4.010968314542285354e-20
4.636089606140639034e+02; 4.127552623618987222e-20
4.645463040376197341e+02; 4.222450058269150378e-20
4.653075491288350349e+02; 4.334131554312445058e-20
4.664290967023393364e+02; 4.437740425885793881e-20
4.673758784066715748e+02; 4.562324399671396901e-20
4.683213276478353464e+02; 4.682717332637877851e-20
4.694991140501354607e+02; 4.820548063038217992e-20
4.706674621716591673e+02; 4.928692254303119471e-20
4.718426946862197155e+02; 5.058490156466812289e-20
4.731966904594577272e+02; 5.179886078875614109e-20
4.742283900415143876e+02; 5.286229076039717092e-20
4.755316989158250180e+02; 5.390865809701197466e-20
4.765647309610501452e+02; 5.501399847684421314e-20
4.778717707322324486e+02; 5.617771495639439630e-20
4.787420557260647911e+02; 5.715749822017368239e-20
4.802067791885997394e+02; 5.828751226465022987e-20
4.810705351129067822e+02; 5.906193452829258393e-20
4.825799493901110964e+02; 6.017094362338191294e-20
4.846580589476039904e+02; 6.133381443297453535e-20
4.869592228394930089e+02; 6.237908737317367152e-20
4.897144140384326647e+02; 6.343823214326500296e-20
4.938158602648373972e+02; 6.404118384028384708e-20
4.987950813124583647e+02; 6.371947877821725361e-20
5.028493029676078550e+02; 6.283706029401781443e-20
5.057686726640868073e+02; 6.192676587278125338e-20
5.082306648604061365e+02; 6.089722488105745439e-20
5.104721344023492975e+02; 6.006491153429044769e-20
5.127074746137175225e+02; 5.903981030984387878e-20
5.147168290717190757e+02; 5.804010405677014428e-20
5.167253840518196739e+02; 5.701525155878168219e-20
5.189588588147521477e+02; 5.593147576286742357e-20
5.214220058124840307e+02; 5.493825712490933954e-20
5.241127819348238290e+02; 5.397133301901424069e-20
5.265749517928989007e+02; 5.294738008171592936e-20
5.290403195625782473e+02; 5.202401212407653445e-20
5.321855544562325804e+02; 5.108453083739269642e-20
5.357868026615647068e+02; 5.022138784614319195e-20
5.393868849616244461e+02; 4.932157324772637690e-20
5.429841357774512289e+02; 4.833269903190325250e-20
