# Wavelength (nm); Cross-section (cm^2)
6.114165165033182348e+02; 3.047686019425910728e-21
6.266443985408517392e+02; 7.851975563661905681e-21
6.438482837428032326e+02; 2.242306509031770452e-20
6.547057530875049451e+02; 3.480719026062493054e-20
6.624585768909594208e+02; 5.476411901727246853e-20
6.700484744292716641e+02; 7.205528625317070462e-20
6.752567851331828024e+02; 8.598829622541703796e-20
6.818641744057355254e+02; 1.049255138067428581e-19
6.857055041599885499e+02; 1.179114552094471312e-19
6.916426196243527329e+02; 1.380457251693408632e-19
6.965384505669815098e+02; 1.554411241823093519e-19
7.000427553219058154e+02; 1.687869365366776874e-19
7.045907047176085598e+02; 1.851699388849961438e-19
7.091408568910845815e+02; 2.018313723438710755e-19
7.133494211684156880e+02; 2.182759265968287890e-19
7.184143939757868793e+02; 2.355709418798385182e-19
7.227914707527822884e+02; 2.518355606569642005e-19
7.280230679645835608e+02; 2.687119852265220592e-19
7.329201576373684475e+02; 2.862664877312371155e-19
7.381435731031542673e+02; 3.021087396044422003e-19
7.444087451144839633e+02; 3.207495262339775665e-19
7.496235068104456332e+02; 3.354979416014250801e-19
7.565603687013897343e+02; 3.531206672806073718e-19
7.645026413046168727e+02; 3.689478143919377896e-19
7.745598382630862488e+02; 3.843635564540939717e-19
7.833892129790140189e+02; 3.934197763613317434e-19
7.905372718083129939e+02; 3.947779641817555894e-19
8.007287378594407983e+02; 3.941843470400808833e-19
8.105421802718658455e+02; 3.887683728331820917e-19
8.196224348456153166e+02; 3.765971175513040566e-19
8.300494407772262093e+02; 3.628159104358981793e-19
8.347141688631725174e+02; 3.509999083641969131e-19
8.461473407451602498e+02; 3.355185847759871362e-19
8.504724949032114409e+02; 3.237402690851630732e-19
8.575284011986802852e+02; 3.134503766294694448e-19
8.642220764234421040e+02; 3.003343077032148504e-19
8.682264566875745686e+02; 2.909700026878543514e-19
8.746254811646240341e+02; 2.835699101175609204e-19
8.793051252029215448e+02; 2.736392844230564119e-19
8.837865192416138598e+02; 2.644257572985520350e-19
8.924049187482560228e+02; 2.540197847478515549e-19
8.970969612785922891e+02; 2.456563284470506691e-19
9.024460924187308137e+02; 2.344292106916366590e-19
9.087932077632306118e+02; 2.290597699404274906e-19
9.150392156079318511e+02; 2.152063243013560304e-19
9.232961707502147419e+02; 2.063695980491169679e-19
9.276752929637139005e+02; 2.014128445669270314e-19
9.327916534297130511e+02; 1.865394121203635096e-19
9.403069647639492814e+02; 1.799025308002504296e-19
9.462927965543005939e+02; 1.714094844635872651e-19
9.531701314112424370e+02; 1.607046103810486300e-19
9.625825165912187913e+02; 1.504300971300488243e-19
9.669177690853953209e+02; 1.384060123939700532e-19
9.769489737617018363e+02; 1.263502834791016638e-19
9.870047905770668422e+02; 1.174055289412385095e-19
1.000857908847185058e+03; 1.084396782841823244e-19
1.014746187315958423e+03; 1.039180767371335751e-19
1.031183580187228017e+03; 1.016045356656265453e-19
1.041292137300575632e+03; 9.932615479277467107e-20
